,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,predict
0,NFLX,2017-01-17 00:00:00+00:00,132.89,135.4,132.09,135.04,12220202.0,132.89,135.4,132.09,135.04,12220202.0,0.0,1.0,132.89
1,NFLX,2017-01-18 00:00:00+00:00,133.26,133.65,131.06,133.21,16168617.0,133.26,133.65,131.06,133.21,16168617.0,0.0,1.0,133.26
2,NFLX,2017-01-19 00:00:00+00:00,138.41,143.46,138.25,142.01,23203441.0,138.41,143.46,138.25,142.01,23203441.0,0.0,1.0,138.41
3,NFLX,2017-01-20 00:00:00+00:00,138.6,140.79,137.66,139.36,9497394.0,138.6,140.79,137.66,139.36,9497394.0,0.0,1.0,138.6
4,NFLX,2017-01-23 00:00:00+00:00,137.39,139.49,137.31,138.65,7433896.0,137.39,139.49,137.31,138.65,7433896.0,0.0,1.0,137.39
5,NFLX,2017-01-24 00:00:00+00:00,140.11,140.93,137.03,138.11,7754673.0,140.11,140.93,137.03,138.11,7754673.0,0.0,1.0,140.11
6,NFLX,2017-01-25 00:00:00+00:00,139.52,141.39,139.05,140.8,7612888.0,139.52,141.39,139.05,140.8,7612888.0,0.0,1.0,139.52
7,NFLX,2017-01-26 00:00:00+00:00,138.96,141.21,138.51,140.45,6038313.0,138.96,141.21,138.51,140.45,6038313.0,0.0,1.0,138.96
8,NFLX,2017-01-27 00:00:00+00:00,142.45,142.49,139.0,139.46,8323866.0,142.45,142.49,139.0,139.46,8323866.0,0.0,1.0,142.45
9,NFLX,2017-01-30 00:00:00+00:00,141.22,141.967,138.8,141.77,8122481.0,141.22,141.967,138.8,141.77,8122481.0,0.0,1.0,141.22
10,NFLX,2017-01-31 00:00:00+00:00,140.71,141.83,139.7,140.55,4411631.0,140.71,141.83,139.7,140.55,4411631.0,0.0,1.0,140.71
11,NFLX,2017-02-01 00:00:00+00:00,140.78,142.41,139.3,141.2,6033422.0,140.78,142.41,139.3,141.2,6033422.0,0.0,1.0,140.78
12,NFLX,2017-02-02 00:00:00+00:00,139.2,141.04,139.05,140.61,3462370.0,139.2,141.04,139.05,140.61,3462370.0,0.0,1.0,139.2
13,NFLX,2017-02-03 00:00:00+00:00,140.25,140.64,139.1,139.51,3512568.0,140.25,140.64,139.1,139.51,3512568.0,0.0,1.0,140.25
14,NFLX,2017-02-06 00:00:00+00:00,140.97,141.0,139.16,140.0,3552066.0,140.97,141.0,139.16,140.0,3552066.0,0.0,1.0,140.97
15,NFLX,2017-02-07 00:00:00+00:00,144.0,144.28,141.05,141.49,8573515.0,144.0,144.28,141.05,141.49,8573515.0,0.0,1.0,143.99999999999997
16,NFLX,2017-02-08 00:00:00+00:00,144.74,145.07,142.56,143.57,6887050.0,144.74,145.07,142.56,143.57,6887050.0,0.0,1.0,144.74
17,NFLX,2017-02-09 00:00:00+00:00,144.14,145.09,143.58,144.98,4555119.0,144.14,145.09,143.58,144.98,4555119.0,0.0,1.0,144.14
18,NFLX,2017-02-10 00:00:00+00:00,144.82,145.3,143.97,144.68,6171936.0,144.82,145.3,143.97,144.68,6171936.0,0.0,1.0,144.82
19,NFLX,2017-02-13 00:00:00+00:00,143.2,145.95,143.05,145.19,4790435.0,143.2,145.95,143.05,145.19,4790435.0,0.0,1.0,143.2
20,NFLX,2017-02-14 00:00:00+00:00,140.82,144.11,140.05,143.2,8367786.0,140.82,144.11,140.05,143.2,8367786.0,0.0,1.0,140.82
21,NFLX,2017-02-15 00:00:00+00:00,142.27,142.43,140.51,140.72,5309050.0,142.27,142.43,140.51,140.72,5309050.0,0.0,1.0,142.27
22,NFLX,2017-02-16 00:00:00+00:00,142.01,142.44,141.07,142.42,2847496.0,142.01,142.44,141.07,142.42,2847496.0,0.0,1.0,142.01
23,NFLX,2017-02-17 00:00:00+00:00,142.22,142.9,141.27,141.75,4588073.0,142.22,142.9,141.27,141.75,4588073.0,0.0,1.0,142.22
24,NFLX,2017-02-21 00:00:00+00:00,142.6,143.38,141.81,142.99,3571481.0,142.6,143.38,141.81,142.99,3571481.0,0.0,1.0,142.6
25,NFLX,2017-02-22 00:00:00+00:00,143.86,144.0,142.17,142.92,3481968.0,143.86,144.0,142.17,142.92,3481968.0,0.0,1.0,143.86
26,NFLX,2017-02-23 00:00:00+00:00,142.78,144.49,141.52,144.45,4667978.0,142.78,144.49,141.52,144.45,4667978.0,0.0,1.0,142.78
27,NFLX,2017-02-24 00:00:00+00:00,143.25,143.56,141.55,141.88,3302714.0,143.25,143.56,141.55,141.88,3302714.0,0.0,1.0,143.25
28,NFLX,2017-02-27 00:00:00+00:00,143.41,143.92,142.38,143.12,3907377.0,143.41,143.92,142.38,143.12,3907377.0,0.0,1.0,143.41
29,NFLX,2017-02-28 00:00:00+00:00,142.13,143.57,141.85,143.3,38622.0,142.13,143.57,141.85,143.3,38622.0,0.0,1.0,142.13
30,NFLX,2017-03-01 00:00:00+00:00,142.65,143.26,142.1,142.84,41706.0,142.65,143.26,142.1,142.84,41706.0,0.0,1.0,142.65
31,NFLX,2017-03-02 00:00:00+00:00,139.53,142.7,139.09,142.15,6119945.0,139.53,142.7,139.09,142.15,6119945.0,0.0,1.0,139.53
32,NFLX,2017-03-03 00:00:00+00:00,139.14,140.91,138.26,139.69,5401104.0,139.14,140.91,138.26,139.69,5401104.0,0.0,1.0,139.14
33,NFLX,2017-03-06 00:00:00+00:00,141.94,142.84,140.54,141.0,7116118.0,141.94,142.84,140.54,141.0,7116118.0,0.0,1.0,141.94
34,NFLX,2017-03-07 00:00:00+00:00,141.43,142.4,140.38,141.99,4241037.0,141.43,142.4,140.38,141.99,4241037.0,0.0,1.0,141.43
35,NFLX,2017-03-08 00:00:00+00:00,140.32,142.06,139.77,141.47,4092550.0,140.32,142.06,139.77,141.47,4092550.0,0.0,1.0,140.32
36,NFLX,2017-03-09 00:00:00+00:00,140.53,141.24,139.74,140.04,2652740.0,140.53,141.24,139.74,140.04,2652740.0,0.0,1.0,140.53
